date,open,high,low,close,volume
2026-07-20,1317.199951171875,1345.9000244140625,1314.9000244140625,1323.0999755859375,14305844
2026-07-21,1321.0,1326.9000244140625,1302.699951171875,1303.699951171875,12753410
2026-07-22,1302.0,1304.5999755859375,1280.699951171875,1288.5999755859375,10840383
2026-07-23,1283.0,1287.300048828125,1268.0,1272.199951171875,12580741
2026-07-24,1265.0,1283.4000244140625,1249.800048828125,1278.0,9817000
2026-07-27,1288.199951171875,1288.699951171875,1278.0,1280.0,7163132
2026-07-28,1275.0,1279.199951171875,1265.9000244140625,1267.699951171875,9312184
2026-07-29,1275.0,1282.4000244140625,1268.699951171875,1275.9000244140625,9448307
2026-07-30,1279.800048828125,1297.0,1275.300048828125,1292.9000244140625,12158451
2026-07-31,1295.0,1309.699951171875,1293.5999755859375,1307.800048828125,8624996
2026-08-03,1315.199951171875,1319.0,1306.0,1319.0,7508023
2026-08-04,1315.0,1315.0,1286.4000244140625,1290.9000244140625,10759546
2026-08-05,1293.0,1299.0,1270.0999755859375,1280.0,24820782
2026-08-06,1285.0,1325.199951171875,1281.199951171875,1325.0,20342297
2026-08-07,1320.0,1337.0,1316.5999755859375,1334.800048828125,9885638
2026-08-10,1330.0999755859375,1332.9000244140625,1321.300048828125,1327.300048828125,8207102
2026-08-11,1326.5999755859375,1328.699951171875,1314.0999755859375,1323.9000244140625,9953124
2026-08-12,1323.9000244140625,1329.0,1309.199951171875,1329.0,7901012
2026-08-13,1327.800048828125,1327.800048828125,1307.199951171875,1317.0,9397301
2026-08-14,1317.0,1317.5,1301.5,1310.0,10497358
2026-08-17,1314.0,1320.800048828125,1298.0999755859375,1316.0,13383867
2026-08-18,1314.0,1328.5999755859375,1311.199951171875,1322.0,10180567
2026-08-19,1320.300048828125,1321.5999755859375,1303.5,1311.0,7489365
2026-08-20,1315.5,1316.5,1307.0,1313.199951171875,5546227
2026-08-21,1314.0,1316.0,1308.0,1316.0,5434871
2026-08-24,1316.5999755859375,1320.0,1302.4000244140625,1309.800048828125,7277167
2026-08-25,1304.300048828125,1317.0999755859375,1300.0,1317.0,7115355
2026-08-26,1310.0,1315.5999755859375,1298.0,1298.0,5744474
2026-08-27,1305.0,1308.4000244140625,1282.199951171875,1282.199951171875,11271497
2026-08-28,1284.9000244140625,1291.800048828125,1280.0,1287.0,6830228
