date,open,high,low,close,volume
2026-07-20,2280.10009765625,2283.39990234375,2245.10009765625,2251.10009765625,2202693
2026-07-21,2245.10009765625,2259.89990234375,2218.5,2221.10009765625,2382160
2026-07-22,2216.0,2226.800048828125,2201.0,2208.300048828125,1599665
2026-07-23,2204.0,2250.0,2193.60009765625,2242.89990234375,2503539
2026-07-24,2205.10009765625,2264.300048828125,2205.10009765625,2254.300048828125,3211699
2026-07-27,2286.0,2315.0,2272.39990234375,2295.60009765625,4007292
2026-07-28,2325.0,2417.39990234375,2323.0,2398.0,8248513
2026-07-29,2440.0,2475.5,2415.10009765625,2446.60009765625,7169419
2026-07-30,2440.0,2495.0,2423.0,2431.800048828125,4901582
2026-07-31,2385.0,2391.0,2326.10009765625,2365.60009765625,4343683
2026-08-03,2383.89990234375,2473.699951171875,2383.0,2473.699951171875,3036839
2026-08-04,2463.10009765625,2467.39990234375,2435.10009765625,2460.0,2792792
2026-08-05,2460.0,2460.89990234375,2408.0,2413.0,3014409
2026-08-06,2417.0,2434.5,2368.5,2373.0,2729141
2026-08-07,2375.0,2457.699951171875,2375.0,2452.699951171875,4547979
2026-08-10,2452.699951171875,2472.89990234375,2423.5,2425.699951171875,2322023
2026-08-11,2438.0,2456.60009765625,2428.0,2445.699951171875,1514105
2026-08-12,2445.699951171875,2445.800048828125,2300.10009765625,2349.699951171875,7022647
2026-08-13,2349.699951171875,2375.0,2332.300048828125,2375.0,2123494
2026-08-14,2375.10009765625,2390.0,2333.39990234375,2361.0,2232160
2026-08-17,2351.0,2361.10009765625,2310.60009765625,2313.199951171875,2237636
2026-08-18,2300.0,2307.0,2280.0,2280.0,1797822
2026-08-19,2293.60009765625,2308.199951171875,2258.300048828125,2289.0,3368922
2026-08-20,2319.39990234375,2329.0,2288.10009765625,2298.0,2047848
2026-08-21,2290.10009765625,2307.199951171875,2263.300048828125,2302.0,2066749
2026-08-24,2302.39990234375,2321.60009765625,2279.5,2284.10009765625,1542723
2026-08-25,2305.0,2313.5,2262.0,2296.199951171875,3041609
2026-08-26,2305.10009765625,2306.300048828125,2266.39990234375,2270.0,1660737
2026-08-27,2270.0,2283.60009765625,2243.89990234375,2248.39990234375,1709113
2026-08-28,2272.0,2348.5,2263.300048828125,2342.0,4054069
